#FileVersion:	2
#Fileformat:	2558
#Subject:	                                                                                
## Date:	September 19, 2008
#Description:	                                                                                
## of Pts Recorded:	10346                                                                           
#Offset Of Calibration Area:	0	0
#Size Of Calibration Area:	800	600
#Sample Rate:	60
#
#Time	Set	Pupil H	Pupil V	C.R. H	C.R. V	ScreenH	ScreenV	Diam H	Diam V
0	0	5222	4169	4904	4097	425	272	2035	2202
16	0	5219	4176	4909	4101	428	274	2020	2203
33	0	5225	4179	4911	4101	428	276	2034	2230
50	0	5221	4179	4909	4101	429	279	2038	2195
66	0	5231	4177	4915	4104	426	277	2037	2199
83	0	5228	4178	4913	4102	424	277	2042	2196
99	0	5223	4179	4910	4102	427	277	2008	2203
116	0	5229	4179	4919	4103	426	277	2046	2199
133	0	5232	4177	4915	4103	424	276	2036	2196
149	0	5237	4172	4916	4104	418	271	2036	2196
166	0	5230	4171	4917	4101	422	272	2034	2208
183	0	5229	4171	4912	4100	421	271	2041	2224
199	0	5236	4168	4913	4099	416	270	2045	2201
216	0	5232	4164	4916	4098	420	269	2070	2199
233	0	5233	4165	4918	4096	420	268	2044	2201
249	0	5233	4164	4920	4098	422	267	2079	2199
266	0	5237	4166	4921	4103	421	264	2031	2203
283	0	5232	4174	4920	4103	423	268	2041	2167
299	0	5234	4174	4921	4103	423	270	2000	2141
316	0	5236	4170	4922	4103	423	267	1975	2164
333	0	5233	4170	4923	4106	425	266	1962	2142
349	0	5232	4173	4922	4106	426	267	1909	2105
366	0	5240	4176	4923	4106	421	268	1908	2074
383	0	5239	4175	4922	4106	419	269	1885	2064
399	0	5237	4173	4920	4103	419	269	1855	2041
416	0	5237	4173	4922	4103	419	269	1851	2015
433	0	5237	4168	4923	4103	420	267	1823	2010
449	0	5241	4167	4922	4103	419	266	1797	2014
466	0	5238	4169	4924	4103	418	267	1802	2007
483	0	5243	4168	4924	4101	417	267	1794	1981
499	0	5243	4169	4925	4096	416	269	1749	1952
516	0	5237	4168	4923	4098	418	270	1818	1949
533	0	5243	4160	4924	4097	416	267	1782	1981
549	0	5262	4099	4930	4077	408	204	1747	1936
566	0	5268	4065	4941	4055	408	183	1724	1946
583	0	5257	4074	4924	4049	407	202	1720	1920
599	0	5260	4076	4927	4053	407	202	1747	1941
616	0	5263	4078	4923	4053	403	202	1721	1887
633	0	5261	4078	4923	4053	402	203	1733	1884
649	0	5259	4080	4923	4055	402	205	1716	1855
666	0	5268	4082	4925	4054	398	206	1716	1852
683	0	5256	4082	4924	4055	403	205	1692	1880
699	0	5257	4083	4924	4054	404	207	1697	1855
716	0	5251	4078	4923	4050	405	208	1686	1877
733	0	5224	4305	4928	4016	402	536	1575	1234
749	0	0	0	0	0	0	0	0	0
766	0	2855	6033	0	0	0	0	1120	1647
783	0	0	0	0	0	0	0	0	0
799	0	2855	6079	0	0	0	0	1189	1621
816	0	0	0	0	0	0	0	0	0
833	0	0	0	0	0	0	0	0	0
849	0	5227	4614	0	0	0	0	1176	494
866	0	5242	4379	0	0	0	0	1590	945
883	0	5246	4226	0	0	0	0	1724	1298
899	0	5244	4113	0	0	0	0	1650	1495
916	0	5247	4076	0	0	0	0	1660	1665
933	0	5244	4031	0	0	0	0	1689	1817
949	0	5252	4044	4915	4025	402	195	1631	1818
966	0	5248	4036	4912	4020	403	191	1624	1820
983	0	5247	4042	4912	4023	403	192	1635	1818
999	0	5247	4048	4918	4025	403	197	1631	1793
1016	0	5249	4047	4920	4029	403	196	1631	1763
1032	0	5247	4052	4922	4029	406	199	1653	1844
1049	0	5247	4061	4918	4028	406	214	1643	1811
1066	0	5245	4061	4912	4028	404	216	1590	1785
1082	0	5247	4060	4910	4026	400	216	1591	1813
1099	0	5250	4063	4914	4030	397	216	1626	1783
1116	0	5251	4064	4909	4030	393	216	1630	1833
1132	0	5243	4066	4912	4026	398	221	1641	1811
1149	0	5243	4066	4913	4028	401	221	1628	1836
1166	0	5260	4074	4925	4029	399	226	1662	1847
1182	0	5329	4140	4973	4071	363	260	1680	1856
1199	0	5307	4127	4949	4042	368	271	1681	1882
1216	0	5314	4138	0	0	0	0	1694	1862
1232	0	5313	4134	0	0	0	0	1685	1851
1249	0	5307	4133	0	0	0	0	1703	1885
1266	0	5309	4138	4944	4047	364	278	1728	1886
1282	0	5309	4139	0	0	0	0	1717	1907
1299	0	5309	4140	0	0	0	0	1705	1876
1316	0	5312	4138	4939	4051	358	275	1716	1884
1332	0	5305	4136	4941	4050	363	274	1707	1885
1349	0	5316	4136	4943	4060	353	266	1719	1910
1366	0	5307	4137	4941	4067	358	262	1729	1889
1382	0	5304	4136	4941	4067	362	263	1718	1910
1399	0	5302	4133	4935	4067	360	260	1724	1910
1416	0	5306	4132	4935	4072	357	256	1718	1912
1432	0	5306	4131	4939	4066	357	256	1748	1911
1449	0	5302	4132	4941	4061	359	257	1748	1943
1466	0	5307	4133	4940	4060	357	260	1820	1948
1482	0	5299	4132	4938	4057	362	264	1780	1924
1499	0	5299	4130	0	0	0	0	1783	1952
1516	0	5303	4130	0	0	0	0	1793	1981
1532	0	5293	4130	0	0	0	0	1811	1978
1549	0	5296	4134	0	0	0	0	1811	2006
1566	0	5295	4133	0	0	0	0	1813	1984
1582	0	5291	4128	0	0	0	0	1822	2007
1599	0	5296	4126	4937	4034	362	275	1819	1977
1616	0	5304	4124	4941	4046	360	267	1814	2010
1632	0	5296	4121	4940	4052	363	260	1816	1977
1649	0	5294	4118	4938	4050	363	258	1846	2009
1666	0	5296	4119	4927	4050	357	256	1836	2003
1682	0	5289	4122	4930	4059	361	256	1820	2007
1699	0	5296	4127	4927	4067	355	256	1843	1977
1716	0	5290	4129	4930	4073	361	252	1838	1984
1732	0	5294	4134	4927	4074	356	252	1848	2036
1749	0	5286	4137	4929	4074	358	254	1824	2009
1766	0	5279	4134	4924	4071	362	255	1874	1973
1782	0	5278	4192	4940	4053	365	357	1819	1752
1799	0	5238	4687	4914	4037	310	872	1446	591
1816	0	0	0	0	0	0	0	0	0
1832	0	2914	6051	5049	4470	1151	-1690	1242	1573
1849	0	2908	6086	4685	3923	0	0	1235	1469
1866	0	0	0	0	0	0	0	0	0
1882	0	4028	5124	0	0	0	0	628	519
1899	0	5262	4710	0	0	0	0	1203	496
1916	0	5272	4523	0	0	0	0	1735	944
1932	0	5250	4343	0	0	0	0	1803	1277
1949	0	5220	4250	0	0	0	0	2015	1550
1966	0	5254	4167	4912	4000	374	392	1782	1651
1982	0	5254	4139	0	0	0	0	1825	1797
1999	0	5273	4131	4918	4010	364	317	1817	1872
2016	0	5268	4121	4919	4024	368	293	1786	1940
2032	0	5262	4111	4925	4029	383	283	1785	1924
2049	0	5259	4113	4925	4037	387	278	1746	1949
2065	0	5261	4117	4920	4041	384	276	1716	1875
2082	0	5263	4120	4918	4042	382	276	1742	1872
2099	0	5260	4122	4916	4045	382	275	1724	1916
2115	0	5254	4123	4912	4050	384	273	1695	1941
2132	0	5254	4125	4916	4031	385	279	1727	1911
2149	0	5262	4127	4922	4063	385	266	1723	1942
2165	0	5253	4134	4921	4055	392	276	1744	1915
2182	0	5256	4141	4917	4056	391	282	1746	1917
2199	0	5256	4139	4922	4057	394	281	1749	1940
2215	0	5264	4141	4920	4065	386	276	1745	1915
2232	0	5303	4081	4952	4011	375	268	1754	1939
2249	0	5321	4054	4973	4016	376	216	1801	1890
2265	0	5309	4047	4950	4019	375	212	1766	1914
2282	0	5311	4048	4943	4026	368	208	1735	1858
2299	0	5308	4047	4942	4027	368	205	1753	1886
2315	0	5309	4047	4943	4028	365	203	1720	1886
2332	0	5306	4051	4942	4027	366	205	1749	1931
2349	0	5302	4055	4941	4035	369	204	1720	1914
2365	0	5296	4054	4942	4039	372	199	1726	1855
2382	0	5302	4059	4940	4039	365	198	1700	1853
2399	0	5300	4062	4941	4042	367	199	1694	1855
2415	0	5299	4058	4941	4042	370	199	1705	1851
2432	0	5304	4057	4943	4039	367	198	1696	1906
2449	0	5297	4056	4941	4039	373	199	1721	1881
2465	0	5301	4051	4941	4036	369	197	1720	1849
2482	0	5303	4052	4938	4028	368	201	1744	1914
2499	0	5307	4055	4939	4032	365	204	1736	1882
2515	0	5274	4057	4941	4040	397	186	1715	1889
2532	0	5236	4062	4920	4041	424	205	1729	1888
2549	0	5230	4065	4921	4041	431	204	1697	1852
2565	0	5226	4068	4916	4040	430	204	1691	1885
2582	0	5225	4071	4919	4041	433	206	1721	1883
2599	0	5222	4078	4919	4045	435	211	1695	1880
2615	0	5230	4077	4918	4048	431	209	1684	1851
2632	0	5223	4075	4917	4047	436	208	1694	1881
2649	0	5227	4074	4918	4047	433	206	1698	1854
2665	0	5226	4071	4913	4047	432	204	1713	1822
2682	0	5226	4070	4917	4047	432	203	1683	1879
2699	0	5225	4070	4919	4046	432	204	1691	1882
2715	0	5216	4070	4918	4045	443	205	1714	1879
2732	0	5226	4069	4920	4045	434	205	1693	1849
2749	0	5167	4069	4890	4043	477	207	1708	1857
2765	0	5135	4065	4861	4046	477	203	1691	1882
2782	0	5131	4065	4862	4053	481	196	1693	1843
2799	0	5129	4067	4859	4055	482	196	1692	1880
2815	0	5131	4068	4858	4056	482	195	1690	1854
2832	0	5138	4066	4861	4057	480	191	1685	1847
2849	0	5129	4066	4861	4055	483	190	1691	1848
2865	0	5132	4071	4861	4056	482	193	1687	1847
2882	0	5137	4073	4859	4060	479	193	1657	1849
2899	0	5134	4074	4861	4063	480	194	1656	1815
2915	0	5144	4073	4859	4063	470	192	1635	1848
2932	0	5139	4074	4862	4060	474	191	1662	1815
2949	0	5143	4076	4862	4061	475	194	1686	1821
2965	0	5140	4075	4862	4061	473	195	1627	1821
2982	0	5139	4072	4859	4060	474	194	1628	1818
2999	0	5160	4076	4873	4063	473	194	1662	1778
3015	0	5300	4149	4940	4073	371	262	1650	1790
3032	0	5326	4141	4969	4087	367	250	1628	1793
3049	0	5318	4153	4944	4099	357	249	1625	1842
3065	0	5317	4154	4943	4104	355	249	1617	1813
3082	0	5305	4154	4942	4103	360	248	1659	1814
3099	0	5306	4153	4943	4103	361	248	1658	1788
3115	0	5310	4151	4941	4103	359	245	1613	1790
3132	0	5307	4150	4941	4104	358	242	1620	1789
3149	0	5304	4145	4942	4103	357	233	1685	1789
3165	0	5301	4140	4929	4096	354	230	1650	1790
3182	0	5296	4138	4931	4086	356	237	1628	1783
3198	0	5297	4130	4927	4082	359	235	1631	1815
3215	0	5294	4125	4927	4082	360	235	1618	1815
3232	0	5296	4124	4927	4078	359	236	1654	1818
3248	0	5291	4119	4927	4078	360	234	1630	1790
3265	0	5293	4120	4927	4082	359	231	1630	1818
3282	0	5255	4193	4921	4117	397	278	1666	1854
3298	0	5204	4259	0	0	0	0	1658	1849
3315	0	5189	4272	4888	4160	432	342	1676	1821
3332	0	5177	4278	4889	4152	441	348	1652	1842
3348	0	5189	4278	4884	4152	426	348	1702	1820
3365	0	5180	4276	4883	4153	431	347	1703	1844
3382	0	5171	4272	4883	4153	444	344	1687	1852
3398	0	5182	4272	4887	4152	434	342	1675	1850
3415	0	5183	4271	4878	4148	428	341	1718	1851
3432	0	5180	4266	4883	4147	431	341	1686	1852
3448	0	5180	4267	4878	4147	429	341	1740	1853
3465	0	5181	4267	4880	4145	429	341	1692	1884
3482	0	5178	4264	4878	4145	430	340	1713	1879
3498	0	5182	4260	4878	4145	429	335	1747	1854
3515	0	5181	4259	4877	4143	428	335	1742	1887
3532	0	5179	4260	4880	4141	429	335	1751	1916
3548	0	5176	4260	4882	4143	432	336	1776	1940
3565	0	5179	4263	4873	4138	428	339	1756	1913
3582	0	2700	6243	4871	4135	0	0	866	1175
3598	0	5218	4235	4894	4109	412	343	1750	1942
3615	0	5263	4226	4925	4126	390	314	1771	1946
3632	0	5268	4203	4925	4112	387	299	1783	1948
3648	0	5267	4197	4924	4108	383	295	1783	1951
3665	0	5259	4196	4924	4108	388	294	1814	1950
3682	0	5266	4194	4925	4107	383	292	1806	1944
3698	0	2722	6298	4924	4107	0	0	974	1077
3715	0	5271	4202	4925	4106	377	293	1809	1971
3732	0	5261	4194	4924	4107	386	292	1810	1970
3748	0	5259	4193	4923	4108	388	291	1782	1944
3765	0	5262	4192	4924	4108	386	289	1783	1975
3782	0	5258	4191	4925	4106	391	288	1764	1971
3798	0	5261	4186	4924	4106	390	286	1784	1977
3815	0	5267	4187	4925	4106	386	285	1845	1949
3832	0	5262	4190	4924	4106	389	286	1783	1981
3848	0	5263	4186	4924	4107	388	285	1812	1943
3865	0	5267	4185	4924	4107	385	282	1801	1951
3882	0	5262	4188	4925	4106	386	283	1789	1973
3898	0	5255	4192	4924	4106	392	287	1787	1980
3915	0	5259	4188	4924	4102	390	287	1821	1949
3932	0	5257	4183	4924	4101	393	286	1813	1983
3948	0	5260	4182	4921	4102	389	284	1785	1980
3965	0	5259	4181	4924	4101	390	283	1810	1957
3982	0	5261	4177	4924	4098	390	281	1852	1978
3998	0	5259	4173	4925	4096	390	279	1842	1975
4015	0	5257	4176	4923	4096	392	279	1845	2032
4032	0	5257	4176	4924	4098	393	278	1841	2011
4048	0	5257	4177	4925	4103	394	277	1843	2009
4065	0	5258	4180	4924	4104	394	277	1842	1980
4082	0	5228	4184	4913	4104	423	281	1827	2004
4098	0	5170	4185	4867	4106	438	284	1840	1978
4115	0	2702	6276	4865	4108	0	0	908	1143
4132	0	5167	4175	4863	4108	440	283	1847	2039
4148	0	5169	4183	4864	4109	440	283	1844	2012
4165	0	5172	4185	4864	4108	437	284	1840	2009
4182	0	5168	4186	4864	4105	439	286	1845	2014
4198	0	5163	4184	4862	4106	441	285	1843	1984
4215	0	5164	4185	4864	4108	444	285	1844	2007
4231	0	5171	4182	4863	4108	439	284	1879	2007
4248	0	5172	4178	4865	4107	438	281	1872	2008
4265	0	5171	4179	4864	4106	437	280	1852	2007
4282	0	5170	4178	4866	4105	438	278	1885	2010
4298	0	5179	4175	4869	4105	434	276	1819	2009
4315	0	5174	4174	4863	4102	433	275	1847	2012
4331	0	5174	4176	4863	4104	432	275	1901	2006
4348	0	5173	4178	4864	4105	433	276	1874	2010
4365	0	5171	4179	4864	4105	435	276	1845	2008
4381	0	5170	4182	4866	4111	437	277	1841	2070
4398	0	5170	4186	4864	4113	438	278	1873	2002
4415	0	5169	4189	4865	4113	439	279	1849	2038
4431	0	5166	4187	4864	4113	442	280	1846	2034
4448	0	5168	4184	4864	4111	442	280	1854	2010
4465	0	5165	4180	4863	4109	443	280	1842	2013
4481	0	5174	4208	4877	4096	438	334	1850	1875
4498	0	5164	4569	4875	4051	356	768	1759	911
4515	0	0	0	0	0	0	0	0	0
4531	0	0	0	0	0	0	0	0	0
4548	0	0	0	0	0	0	0	0	0
4565	0	0	0	0	0	0	0	0	0
4581	0	5318	4648	0	0	0	0	1683	786
4598	0	5265	4487	0	0	0	0	1849	1143
4615	0	5263	4352	0	0	0	0	1931	1459
4631	0	5259	4259	0	0	0	0	1977	1622
4648	0	5268	4231	0	0	0	0	1893	1719
4665	0	5276	4173	4937	4064	373	320	1853	1877
4681	0	5294	4184	0	0	0	0	1894	1973
4698	0	5289	4151	4924	4070	349	282	1879	2032
4715	0	5285	4155	4926	4080	361	277	1882	2067
4731	0	5280	4146	4928	4079	369	258	1871	2095
4748	0	5285	4142	4927	4078	365	254	1815	2063
4765	0	5284	4143	4925	4077	364	255	1814	1974
4781	0	5281	4144	4919	4072	361	257	1819	1948
4798	0	5284	4149	4917	4067	352	270	1810	1970
4815	0	5254	4319	4915	4058	358	509	1780	1486
4831	0	0	0	0	0	0	0	0	0
4848	0	0	0	0	0	0	0	0	0
4865	0	2915	6048	0	0	0	0	1270	1607
4881	0	2909	6109	4607	3982	573	-2055	1243	1481
4898	0	2863	5999	0	0	0	0	1113	1682
4915	0	0	0	0	0	0	0	0	0
4931	0	5185	4775	0	0	0	0	1271	529
4948	0	5198	4587	0	0	0	0	1757	942
4965	0	5195	4383	0	0	0	0	1862	1360
4981	0	5179	4273	0	0	0	0	2011	1615
4998	0	5193	4191	0	0	0	0	1871	1778
5015	0	5187	4156	0	0	0	0	1888	1910
5031	0	5212	4143	0	0	0	0	1865	2038
5048	0	5193	4143	0	0	0	0	1854	2037
5065	0	5194	4142	0	0	0	0	1788	1986
5081	0	5193	4148	0	0	0	0	1811	2013
5098	0	5196	4154	0	0	0	0	1816	2015
5115	0	5200	4160	4882	4102	420	268	1850	1973
5131	0	5200	4166	4879	4087	419	278	1835	1986
5148	0	2700	6277	4879	4087	0	0	875	1100
