presented	onset	offset
fix_S	4674	6686
lt2	6886	8899
lt5	9099	11111
lt6	11311	13324
lt7	13540	15553
lt8	15769	17782
lt3	18031	20044
lt1	20244	22257
lt4	22556	24569
fix_S	25966	27979
lt6	28162	30175
lt7	30358	32371
lt2	32554	34566
lt3	34733	36746
lt4	36929	38941
lt5	39124	41137
lt8	41320	43333
lt1	43533	45545
fix_S	46893	48906
lt3	49105	51118
lt4	51284	53297
lt1	53464	55476
lt8	55643	57656
lt5	57822	59835
lt2	60001	62014
lt6	62180	64193
lt7	64393	66405
fix_S	67753	69766
lt3	69932	71945
lt1	72111	74124
lt5	74290	76303
lt6	76469	78482
lt7	78649	80661
lt4	80861	82874
lt2	83040	85053
lt8	85219	87232
fix_S	88563	90576
lt6	90742	92755
lt1	92921	94934
lt5	95100	97113
lt4	97280	99292
lt3	99475	101488
lt8	101655	103667
lt7	103834	105847
lt2	106013	108026
fix_S	109373	111386
lt3	111552	113565
lt4	113731	115744
lt7	115911	117923
lt1	118106	120119
lt5	120286	122298
lt6	122465	124477
lt2	124644	126657
lt8	126823	128836
fix_S	130183	132196
lt3	132362	134375
lt6	134542	136554
lt5	136721	138734
lt4	138916	140929
lt8	141096	143108
lt1	143275	145288
lt7	145454	147467
lt2	147633	149646
fix_S	150993	153006
lt4	153173	155185
lt2	155352	157364
lt7	157531	159544
lt1	159710	161723
lt6	161922	163935
lt5	164135	166148
lt8	166331	168343
lt3	168526	170539
